
MAME4ALL GAME LIST (2270 romsets)
---------------------------------

Name:     Description:
quizdai2  "Quiz Meintantei Neo Geo - Quiz Daisousa Sen Part 2"
qzquest   "Quiz Quest - Hime to Yuusha no Monogatari (Japan)"
qsangoku  "Quiz Sangokushi (Japan)"
qzshowby  "Quiz Sekai wa SHOW by shobai (Japan)"
qtono1    "Quiz Tonosama no Yabou (Japan)"
qtono2    "Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan)"
qtorimon  "Quiz Torimonochou (Japan)"
qwakprot  "Qwak (prototype)"
rtypepj   "R-Type (Japan prototype)"
rtype     "R-Type (Japan)"
rtypeu    "R-Type (US)"
rtype2j   "R-Type II (Japan)"
rtype2    "R-Type II"
rtypeleo  "R-Type Leo (Japan)"
rpunch    "Rabbit Punch (US)"
rabiolep  "Rabio Lepus (Japan)"
rackemup  "Rack 'em Up"
rdaction  "Rad Action"
radarscp  "Radar Scope"
radrad    "Radical Radial"
raidena   "Raiden (Alternate Hardware)"
raidenk   "Raiden (Korea)"
raiden    "Raiden"
raimais   "Raimais (Japan)"
rainbowe  "Rainbow Islands (Extra)"
rainbow   "Rainbow Islands"
rallybik  "Rally Bike / Dash Yarou"
rallyxm   "Rally X (Midway)"
rallyx    "Rally X"
rambo3    "Rambo III (set 1, Europe)"
rambo3a   "Rambo III (set 2, US)"
rampage2  "Rampage (revision 2)"
rampage   "Rampage (revision 3)"
rmpgwt11  "Rampage: World Tour (rev 1.1)"
rmpgwt    "Rampage: World Tour (rev 1.3)"
ramprt2p  "Rampart (2-player Joystick)"
rampart   "Rampart (3-player Trackball)"
rampartj  "Rampart (Japan, 2-player Joystick)"
rastanu   "Rastan (US set 1)"
rastanu2  "Rastan (US set 2)"
rastan    "Rastan (World)"
rastsaga  "Rastan Saga (Japan)"
rastsag2  "Rastan Saga 2 (Japan)"
razmataz  "Razzmatazz"
reactor   "Reactor"
rbff1     "Real Bout Fatal Fury / Real Bout Garou Densetsu"
rbff2     "Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers"
rbffspec  "Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special"
ghostb    "Real Ghostbusters, The (US 2 Players)"
ghostb3   "Real Ghostbusters, The (US 3 Players)"
redalert  "Red Alert"
redbaron  "Red Baron"
redlin2p  "Redline Racer (2 players)"
regulusu  "Regulus (not encrypted)"
regulus   "Regulus"
relief    "Relief Pitcher (set 1)"
relief2   "Relief Pitcher (set 2)"
renegade  "Renegade (US)"
repulse   "Repulse"
rescrdsa  "Rescue Raider (Stand-Alone)"
rescraid  "Rescue Raider"
rescue    "Rescue"
roishtar  "Return of Ishtar, The"
retofin1  "Return of the Invaders (bootleg set 1)"
retofin2  "Return of the Invaders (bootleg set 2)"
retofinv  "Return of the Invaders"
jedi      "Return of the Jedi"
ridhero   "Riding Hero"
ringking  "Ring King (set 1)"
ringkin2  "Ring King (set 2)"
ringkin3  "Ring King (set 3)"
ringohja  "Ring no Ohja (Japan)"
riotcity  "Riot City"
ripcord   "Rip Cord"
ripoff    "Rip Off"
rpatrolb  "River Patrol (bootleg)"
roadblst  "Road Blasters"
roadf     "Road Fighter (set 1)"
roadf2    "Road Fighter (set 2)"
roadrunn  "Road Runner"
robby     "Robby Roto"
roboarmy  "Robo Army"
robocpu0  "Robocop (US revision 0)"
robocopu  "Robocop (US revision 1)"
robocopb  "Robocop (World bootleg)"
robocop   "Robocop (World revision 3)"
robotbwl  "Robot Bowl"
robotron  "Robotron (Solid Blue label)"
robotryo  "Robotron (Yellow/Orange label)"
rocnropk  "Roc'n Rope (Kosuka)"
rocnrope  "Roc'n Rope"
rockrage  "Rock 'n Rage (World?)"
rockmanj  "Rockman - The Power Battle (Japan)"
rodlandj  "RodLand (Japan)"
rodland   "RodLand (World)"
rollergj  "Rollergames (Japan)"
rollerg   "Rollergames (US)"
rollingc  "Rolling Crash / Moon Base"
rthunder  "Rolling Thunder (new version)"
rthundro  "Rolling Thunder (old version)"
rthun2j   "Rolling Thunder 2 (Japan)"
rthun2    "Rolling Thunder 2"
romperso  "Rompers (Japan old version)"
rompers   "Rompers (Japan)"
rranger   "Rough Ranger (v2.0, Sharp Image license)"
roundup   "Round-Up"
route16b  "Route 16 (bootleg)"
route16   "Route 16"
royalmah  "Royal Mahjong"
rugrats   "Rug Rats"
runark    "Runark (Japan)"
rushcrsh  "Rush & Crash (Japan)"
rushatck  "Rush'n Attack"
rygar     "Rygar (US set 1)"
rygar2    "Rygar (US set 2)"
spy       "S.P.Y. - Special Project Y (US)"
srdmissn  "S.R.D. Mission"
sercharu  "SAR - Search And Rescue (US)"
searchar  "SAR - Search And Rescue (World)"
sdioj     "SDI - Strategic Defense Initiative (Japan)"
sdi       "SDI - Strategic Defense Initiative"
sos       "SOS"
swat      "SWAT"
safarir   "Safari Rally"
safari    "Safari"
nspiritj  "Saigo no Nindou (Japan)"
stdragon  "Saint Dragon"
salamand  "Salamander"
samesame  "Same! Same! Same!"
samurai   "Samurai (Sega)"
tsamurai  "Samurai Nihon-ichi (set 1)"
tsamura2  "Samurai Nihon-ichi (set 2)"
samsho    "Samurai Shodown / Samurai Spirits"
samsho2   "Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen"
samsho3   "Samurai Shodown III / Samurai Spirits - Zankurou Musouken"
samsho4   "Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin"
wofa      "Sangokushi II (Asia)"
sarge     "Sarge"
sasuke    "Sasuke vs. Commander"
satansat  "Satan of Saturn"
shollow   "Satan's Hollow (set 1)"
shollow2  "Satan's Hollow (set 2)"
slammast  "Saturday Night Slam Masters (World)"
saturn    "Saturn"
sauro     "Sauro"
savgbees  "Savage Bees"
savagere  "Savage Reign / Fu'un Mokushiroku - kakutou sousei"
scionc    "Scion (Cinematronics)"
scion     "Scion"
scrambls  "Scramble (Stern)"
scramblb  "Scramble (bootleg on Galaxian hardware)"
scramble  "Scramble"
scregg    "Scrambled Egg"
screwloo  "Screw Loose (prototype)"
sfposeid  "Sea Fighter Poseidon"
seawolf2  "Sea Wolf II"
seawolf   "Sea Wolf"
secretag  "Secret Agent (World)"
sectionz  "Section Z (set 1)"
sctionza  "Section Z (set 2)"
sectrzon  "Sector Zone"
seganinu  "Sega Ninja (not encrypted)"
seganinj  "Sega Ninja"
seicross  "Seicross"
myheroj   "Seishun Scandal (Japan)"
sengoku   "Sengoku / Sengoku Denshou (set 1)"
sengokh   "Sengoku / Sengoku Denshou (set 2)"
sengoku2  "Sengoku 2 / Sengoku Denshou 2"
sngkace   "Sengoku Ace (Japan)"
mercsj    "Senjo no Ookami II (Japan)"
commandj  "Senjo no Ookami"
senjyo    "Senjyo"
sentetst  "Sente Diagnostic Cartridge"
shackled  "Shackled (US)"
shdancrj  "Shadow Dancer (Japan)"
shdancer  "Shadow Dancer (US)"
shdancbl  "Shadow Dancer (bootleg)"
shadowld  "Shadow Land"
shadoww   "Shadow Warriors (US)"
shangha3  "Shanghai III (Japan)"
shanghai  "Shanghai"
shaolins  "Shao-Lin's Road"
sharkatt  "Shark Attack"
sheriff   "Sheriff"
mikiej    "Shinnyuushain Tooru-kun"
shinobl   "Shinobi (bootleg)"
shinobi   "Shinobi (set 1)"
shinobia  "Shinobi (set 2)"
shinobib  "Shinobi (set 3)"
shippumd  "Shippu Mahou Daisakusen (Japan)"
shisen    "Shisensho - Joshiryo-Hen (Japan)"
shocktr2  "Shock Troopers - 2nd Squad"
shocktro  "Shock Troopers"
shootouj  "Shoot Out (Japan)"
shootoub  "Shoot Out (Korean Bootleg)"
shootout  "Shoot Out (US)"
shtngmst  "Shooting Master"
showdown  "Showdown (version 5.0)"
shuffle   "Shuffleboard"
shuuz2    "Shuuz (version 7.1)"
shuuz     "Shuuz (version 8.0)"
sichuana  "Sichuan II (hack ?) (set 2)"
sichuan2  "Sichuan II (hack?) (set 1)"
sidearjp  "Side Arms - Hyper Dyne (Japan)"
sidearmr  "Side Arms - Hyper Dyne (US)"
sidearms  "Side Arms - Hyper Dyne (World)"
sidepctj  "Side Pocket (Japan)"
sidepckt  "Side Pocket (World)"
sidepctb  "Side Pocket (bootleg)"
sidetrac  "Side Track"
silentd   "Silent Dragon (World)"
silkworm  "Silkworm (set 1)"
silkwrm2  "Silkworm (set 2)"
silvland  "Silver Land"
simps2pj  "Simpsons, The (2 Players Japan)"
simpsn2p  "Simpsons, The (2 Players)"
simpsons  "Simpsons, The (4 Players)"
sindbadm  "Sindbad Mystery"
sinista1  "Sinistar (prototype version)"
sinista2  "Sinistar (revision 2)"
sinistar  "Sinistar (revision 3)"
skullxbo  "Skull & Crossbones (set 1)"
skullxb2  "Skull & Crossbones (set 2)"
skyadvnt  "Sky Adventure (US)"
skychut   "Sky Chuter"
skydiver  "Sky Diver"
skyfox    "Sky Fox"
skykiddx  "Sky Kid Deluxe (set 1)"
skykiddo  "Sky Kid Deluxe (set 2)"
skykid    "Sky Kid"
skylancr  "Sky Lancer"
skyshark  "Sky Shark (US)"
skysoldr  "Sky Soldiers (US)"
skywolf   "Sky Wolf (set 1)"
skywolf2  "Sky Wolf (set 2)"
slapbtuk  "Slap Fight (English bootleg)"
slapbtjp  "Slap Fight (Japan bootleg)"
slapfigh  "Slap Fight"
slyspy2   "Sly Spy (US revision 2)"
slyspy    "Sly Spy (US revision 3)"
smashtv4  "Smash T.V. (rev 4.00)"
smashtv5  "Smash T.V. (rev 5.00)"
smashtv6  "Smash T.V. (rev 6.00)"
smashtv   "Smash T.V. (rev 8.00)"
snakjack  "Snacks'n Jaxson"
snakepit  "Snake Pit"
snapjack  "Snap Jack"
snowbroj  "Snow Bros. - Nick & Tom (Japan)"
snowbros  "Snow Bros. - Nick & Tom (set 1)"
snowbroa  "Snow Bros. - Nick & Tom (set 2)"
snowbrob  "Snow Bros. - Nick & Tom (set 3)"
snowbro2  "Snow Bros. 2 - With New Elves"
socbrawl  "Soccer Brawl"
solfight  "Solar Fight"
solarfox  "Solar Fox"
solarq    "Solar Quest"
solarwar  "Solar Warrior"
soldamj   "Soldam (Japan)"
solfigtr  "Solitary Fighter (World)"
solomon   "Solomon's Key (Japan)"
sonson    "Son Son"
sonofphx  "Son of Phoenix"
sonicwi   "Sonic Wings (Japan)"
soukobdx  "Souko Ban Deluxe (Japan)"
sspacatc  "Space Attack (cocktail)"
sspaceat  "Space Attack (upright)"
sspacat2  "Space Attack (upright, older)"
spaceatt  "Space Attack II"
spacbatt  "Space Battle"
spacebrd  "Space Bird (bootleg)"
schasrcv  "Space Chaser (CV version)"
schaser   "Space Chaser"
spacedem  "Space Demon"
spacduel  "Space Duel"
sdungeon  "Space Dungeon"
spcenctr  "Space Encounters"
sfeverbw  "Space Fever (black and white)"
spacefev  "Space Fever (color)"
spacefbg  "Space Firebird (Gremlin)"
spacefb   "Space Firebird (Nintendo)"
spacefbb  "Space Firebird (bootleg)"
spacfura  "Space Fury (revision A)"
spacfury  "Space Fury (revision C)"
sharrier  "Space Harrier"
spaceint  "Space Intruder"
sicv      "Space Invaders (CV Version)"
invaderl  "Space Invaders (Logitec)"
sisv2     "Space Invaders (SV Version 2)"
sisv      "Space Invaders (SV Version)"
sitv      "Space Invaders (TV Version)"
spacedx   "Space Invaders DX (Japan)"
invaddlx  "Space Invaders Deluxe"
galap1    "Space Invaders Galactica"
invad2ct  "Space Invaders II (Midway, cocktail)"
invadpt2  "Space Invaders Part II (Taito)"
invaders  "Space Invaders"
spaceinv  "Space Invasion"
spceking  "Space King"
spclaser  "Space Laser"
spaceod   "Space Odyssey"
panicger  "Space Panic (German)"
panic     "Space Panic (set 1)"
panica    "Space Panic (set 2)"
spaceph   "Space Phantoms"
spaceplt  "Space Pilot"
spaceskr  "Space Seeker"
stactics  "Space Tactics"
sptrekct  "Space Trek (cocktail)"
spacetrk  "Space Trek (upright)"
spcewarl  "Space War (Leijac)"
spcewars  "Space War (Sanritsu)"
spacewr3  "Space War Part 3"
spacewar  "Space Wars"
spacezap  "Space Zap"
sparkz    "Sparkz (prototype)"
spartanx  "Spartan X (Japan)"
speakres  "Speak & Rescue"
spectar1  "Spectar (revision 1?)"
spectar   "Spectar (revision 3)"
speedbal  "Speed Ball"
spdcoin   "Speed Coin (prototype)"
speedfrk  "Speed Freak"
srumbler  "Speed Rumbler, The (set 1)"
srumblr2  "Speed Rumbler, The (set 2)"
spelunk2  "Spelunker II"
spelunkr  "Spelunker"
spiders   "Spiders (set 1)"
spiders2  "Spiders (set 2)"
spiker    "Spiker"
spinlbrj  "Spinal Breakers (Japan)"
spinlbru  "Spinal Breakers (US)"
spinlbrk  "Spinal Breakers (World)"
spinmast  "Spinmaster / Miracle Adventure"
splash    "Splash!"
splat     "Splat!"
splatter  "Splatter House (Japan)"
springer  "Springer"
sprint1   "Sprint 1"
sprint2   "Sprint 2"
spyhnt2a  "Spy Hunter 2 (rev 1)"
spyhunt2  "Spy Hunter 2 (rev 2)"
spyhunt   "Spy Hunter"
stadhero  "Stadium Hero (Japan)"
stakwin   "Stakes Winner / Stakes Winner - GI kinzen seihae no michi"
stakwin2  "Stakes Winner 2"
starcas1  "Star Castle (older)"
starcas   "Star Castle (version 3)"
starcrus  "Star Cruiser"
starfire  "Star Fire"
starfore  "Star Force (encrypted)"
starforc  "Star Force"
starhawk  "Star Hawk"
starjack  "Star Jacker (Sega)"
starjacs  "Star Jacker (Stern)"
startrek  "Star Trek"
starwar1  "Star Wars (rev 1)"
starwars  "Star Wars (rev 2)"
starw     "Star Wars"
stargate  "Stargate"
stinger   "Stinger"
stocker   "Stocker"
stoneage  "Stoneage"
storming  "Storming Party / Riku Kai Kuu Saizensen"
stratgys  "Strategy X (Stern)"
stratgyx  "Strategy X"
stratvxb  "Stratovox (bootleg)"
stratvox  "Stratovox"
streakng  "Streaking"
stfight   "Street Fight (Germany)"
sf1jp     "Street Fighter (Japan)"
sf1us     "Street Fighter (US)"
sf1       "Street Fighter (World)"
sf2jb     "Street Fighter II - The World Warrior (Japan 910214)"
sf2j      "Street Fighter II - The World Warrior (Japan 911210)"
sf2a      "Street Fighter II - The World Warrior (US 910206)"
sf2b      "Street Fighter II - The World Warrior (US 910214)"
sf2e      "Street Fighter II - The World Warrior (US 910228)"
sf2       "Street Fighter II - The World Warrior (World 910214)"
sf2accp2  "Street Fighter II' - Champion Edition (Accelerator Pt.II)"
sf2cej    "Street Fighter II' - Champion Edition (Japan)"
sf2rb     "Street Fighter II' - Champion Edition (Rainbow)"
sf2red    "Street Fighter II' - Champion Edition (Red Wave)"
sf2cea    "Street Fighter II' - Champion Edition (US rev A)"
sf2ceb    "Street Fighter II' - Champion Edition (US rev B)"
sf2ce     "Street Fighter II' - Champion Edition (World)"
sf2t      "Street Fighter II' - Hyper Fighting (US)"
sf2tj     "Street Fighter II' Turbo - Hyper Fighting (Japan)"
sfootbal  "Street Football"
strhoop   "Street Hoop / Street Slam / Dunk Dream"
streetsj  "Street Smart (Japan version 1)"
streets1  "Street Smart (US version 1)"
streetsm  "Street Smart (US version 2)"
strider   "Strider (US)"
striderj  "Strider Hiryu (Japan set 1)"
stridrja  "Strider Hiryu (Japan set 2)"
strkforc  "Strike Force (rev 1 02/25/91)"
strkzone  "Strike Zone"
subs      "Subs"
sundance  "Sundance"
ssrdrabd  "Sunset Riders (Asia 2 Players ver. ABD)"
ssrdrjbd  "Sunset Riders (Japan 2 Players ver. JBD)"
ssrdrubc  "Sunset Riders (US 2 Players ver. UBC)"
ssrdruac  "Sunset Riders (US 4 Players ver. UAC)"
ssrdruda  "Sunset Riders (US 4 Players ver. UDA)"
ssrdrebc  "Sunset Riders (World 2 Players ver. EBC)"
ssrdrebd  "Sunset Riders (World 2 Players ver. EBD)"
ssriders  "Sunset Riders (World 4 Players ver. EAC)"
sbagmans  "Super Bagman (Stern)"
sbagman   "Super Bagman"
dblplay   "Super Baseball Double Play Home Run Derby"
sbasketb  "Super Basketball"
sboblbob  "Super Bobble Bobble"
superbon  "Super Bond"
sbrkout   "Super Breakout"
supbtimj  "Super Burger Time (Japan)"
supbtime  "Super Burger Time (World)"
sbbros    "Super Buster Bros (US)"
sucasino  "Super Casino"
sbasebal  "Super Champion Baseball"
scobras   "Super Cobra (Stern)"
scobrab   "Super Cobra (bootleg)"
scobra    "Super Cobra"
scontraj  "Super Contra (Japan)"
scontra   "Super Contra"
sdodgeb   "Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu"
earthinv  "Super Earth Invasion"
sformula  "Super Formula (Japan)"
superg    "Super Galaxians"
shangonb  "Super Hang-On (bootleg)"
shangon   "Super Hang-On"
shimpact  "Super High Impact (rev LA1 09/30/91)"
sinvemag  "Super Invaders (EMAG)"
sinvzen   "Super Invaders (Zenitone-Microsec)"
superinv  "Super Invaders"
suprloco  "Super Locomotive"
marukin   "Super Marukin-Ban"
suprmatk  "Super Missile Attack"
smooncrs  "Super Moon Cresta"
suprmous  "Super Mouse"
superpcm  "Super Pac-Man (Midway)"
superpac  "Super Pac-Man"
spang     "Super Pang (World)"
spiero    "Super Pierrot (Japan)"
spool3i   "Super Pool III (I-Vics)"
spool3    "Super Pool III (World?)"
spnchotj  "Super Punch-Out!! (Japan)"
spnchout  "Super Punch-Out!!"
sqixbl    "Super Qix (bootleg)"
superqix  "Super Qix"
srdarwin  "Super Real Darwin (Japan)"
ssideki   "Super Sidekicks / Tokuten Ou"
ssideki2  "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football"
ssideki3  "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikoue no michi"
ssi       "Super Space Invaders '91 (World)"
ssprint   "Super Sprint"
superspy  "Super Spy, The"
sstingry  "Super Stingray"
svolly91  "Super Volley '91 (Japan)"
svolley   "Super Volleyball (Japan)"
svolleyk  "Super Volleyball (Korea)"
sws92     "Super World Stadium '92 (Japan)"
sws93     "Super World Stadium '93 (Japan)"
sxevious  "Super Xevious"
szaxxon   "Super Zaxxon"
superman  "Superman"
surpratk  "Surprise Attack (Japan)"
swarm     "Swarm"
swimmer   "Swimmer (set 1)"
swimmera  "Swimmer (set 2)"
mosyougi  "Syougi No Tatsujin - Master of Syougi"
ssozumo   "Syusse Oozumou (Japan)"
ttmahjng  "T.T. Mahjong"
tnk3      "TNK III (US?)"
tacscan   "Tac/Scan"
tagteam   "Tag Team Wrestling"
tail2nos  "Tail to Nose - Great Championship"
tailg     "Tailgunner"
karatevs  "Taisen Karate Dou (Japan VS version)"
tshingen  "Takeda Shingen (Japan)"
tnk3j     "Tank (Japan)"
tankbatt  "Tank Battalion"
tankfrcj  "Tank Force (Japan)"
tankfrce  "Tank Force (US)"
tapper    "Tapper (Budweiser)"
rbtapper  "Tapper (Root Beer)"
sutapper  "Tapper (Suntory)"
tappera   "Tapper (alternate)"
targ      "Targ"
trojanj   "Tatakai no Banka (Japan)"
tazmania  "Tazz-Mania (Scramble hardware)"
tazmani2  "Tazz-Mania (Strategy X hardware)"
tknight   "Tecmo Knight"
tws96     "Tecmo World Soccer '96"
teddybb   "TeddyBoy Blues"
teedoff   "Tee'd Off"
tmht2p    "Teenage Mutant Hero Turtles (2 Players UK)"
tmht      "Teenage Mutant Hero Turtles (4 Players UK)"
tmnt2pj   "Teenage Mutant Ninja Turtles (2 Players Japan)"
tmnt2po   "Teenage Mutant Ninja Turtles (2 Players Oceania)"
tmntj     "Teenage Mutant Ninja Turtles (4 Players Japan)"
tmnt      "Teenage Mutant Ninja Turtles (4 Players US)"
tmnt22p   "Teenage Mutant Ninja Turtles - Turtles in Time (2 Players US)"
tmnt2a    "Teenage Mutant Ninja Turtles - Turtles in Time (4 Players Asia)"
tmnt2     "Teenage Mutant Ninja Turtles - Turtles in Time (4 Players US)"
tehkanwc  "Tehkan World Cup"
tekipaki  "Teki Paki"
tempest1  "Tempest (rev 1)"
tempest2  "Tempest (rev 2)"
tempest   "Tempest (rev 3)"
temptube  "Tempest Tubes"
dwj       "Tenchi wo Kurau (Japan)"
wofj      "Tenchi wo Kurau II - Sekiheki no Tatakai (Japan)"
term2     "Terminator 2 - Judgment Day (rev LA3 03/27/92)"
terracra  "Terra Cresta (YM2203)"
terracre  "Terra Cresta (YM3526 set 1)"
terracrb  "Terra Cresta (YM3526 set 2)"
terrafu   "Terra Force (US)"
terraf    "Terra Force"
atetcktl  "Tetris (Cocktail set 1)"
atetckt2  "Tetris (Cocktail set 2)"
tetrist   "Tetris (Japan, B-System)"
tetris    "Tetris (Sega Set 1)"
tetrisa   "Tetris (Sega Set 2)"
tetrisbl  "Tetris (Sega bootleg)"
atetrisb  "Tetris (bootleg)"
atetris   "Tetris (set 1)"
atetrisa  "Tetris (set 2)"
trally    "Thrash Rally"
3stooges  "Three Stooges"
3wonders  "Three Wonders (US)"
thndblst  "Thunder Blaster (Japan)"
thnderxj  "Thunder Cross (Japan)"
thndrx2   "Thunder Cross II (Japan)"
thunderx  "Thunder Cross"
thundfox  "Thunder Fox (Japan)"
thunderj  "ThunderJaws"
tndrcade  "Thundercade / Twin Formation"
tigerhj   "Tiger Heli (Japan)"
tigerhb1  "Tiger Heli (bootleg 1)"
tigerhb2  "Tiger Heli (bootleg 2)"
tigerh    "Tiger Heli (set 1)"
tigerh2   "Tiger Heli (set 2)"
tigeroad  "Tiger Road (US)"
timber    "Timber"
tp84      "Time Pilot '84 (set 1)"
tp84a     "Time Pilot '84 (set 2)"
timepltc  "Time Pilot (Centuri)"
timeplt   "Time Pilot"
timscanr  "Time Scanner"
timesol1  "Time Soldiers (US Rev 1)"
timesold  "Time Soldiers (US Rev 3)"
timetunl  "Time Tunnel"
tinstar   "Tin Star, The"
tiptop    "Tip Top"
toggle    "Toggle"
tokiu     "Toki (US)"
tokib     "Toki (bootleg)"
toki      "Toki (set 1)"
toki2     "Toki (set 2)"
toki3     "Toki (set 3)"
tokisens  "Toki no Senshi - Chrono Soldier"
tokiob    "Tokio / Scramble Formation (bootleg)"
tokio     "Tokio / Scramble Formation"
jackalj   "Tokushu Butai Jackal (Japan)"
tndrcadj  "Tokusyu Butai UAG (Japan)"
tomahawk  "Tomahawk 777 (Revision 1)"
tomahaw5  "Tomahawk 777 (Revision 5)"
toobinp   "Toobin' (Prototype)"
toobin2   "Toobin' (version 2)"
toobin    "Toobin' (version 3)"
topgunr   "Top Gunner (US)"
topgunbl  "Top Gunner (bootleg)"
tophuntr  "Top Hunter - Roddy & Cathy"
tpgolf    "Top Player's Golf"
topracer  "Top Racer"
topsecex  "Top Secret (Exidy) (version 1.0)"
topsecrt  "Top Secret (Japan)"
toramich  "Tora eno Michi (Japan)"
tornbase  "Tornado Baseball"
toryumon  "Toryumon"
totcarnp  "Total Carnage (prototype, rev 1.0 01/25/92)"
totcarn   "Total Carnage (rev LA1 03/10/92)"
tdfeverj  "TouchDown Fever (Japan)"
tdfever   "TouchDown Fever"
tturf     "Tough Turf (Japan)"
tturfu    "Tough Turf (US)"
tturfbl   "Tough Turf (bootleg)"
bullfgtj  "Tougyuu, The (Japan)"
arkatour  "Tournament Arkanoid (US)"
cyberbt   "Tournament Cyberball 2072"
todruaga  "Tower of Druaga (set 1)"
todruagb  "Tower of Druaga (set 2)"
toypop    "Toypop"
trackflc  "Track & Field (Centuri)"
trackfld  "Track & Field"
tranqgun  "Tranquilizer Gun"
travrusa  "Traverse USA / Zippy Race"
treahunt  "Treasure Hunt (Japan?)"
trisport  "Tri-Sports"
trigon    "Trigon (Japan)"
triothep  "Trio The Punch - Never Forget Me... (Japan)"
triplep   "Triple Punch"
triviasp  "Trivial Pursuit (All Star Sports Edition)"
triviabb  "Trivial Pursuit (Baby Boomer Edition)"
triviag1  "Trivial Pursuit (Genus I)"
triviag2  "Trivial Pursuit (Genus II)"
triviayp  "Trivial Pursuit (Young Players Edition)"
trogp     "Trog (prototype, rev 4.00 07/27/90)"
trog3     "Trog (rev LA3 02/14/91)"
trog      "Trog (rev LA4 03/11/91)"
trojanr   "Trojan (Romstar)"
trojan    "Trojan (US)"
tron      "Tron (set 1)"
tron2     "Tron (set 2)"
troangel  "Tropical Angel"
truxton   "Truxton / Tatsujin"
tatsujn2  "Truxton II / Tatsujin II / Tatsujin Oh (Japan)"
tubeit    "Tube It"
tumblepj  "Tumble Pop (Japan)"
tumblep   "Tumble Pop (World)"
tumblepb  "Tumble Pop (bootleg set 1)"
tumblep2  "Tumble Pop (bootleg set 2)"
turboa    "Turbo (encrypted set 1)"
turbob    "Turbo (encrypted set 2)"
turbofrc  "Turbo Force"
turbotag  "Turbo Tag (Prototype)"
turbo     "Turbo"
tshoot    "Turkey Shoot"
turpin    "Turpin"
turtship  "Turtle Ship"
turtles   "Turtles"
tutankst  "Tutankham (Stern)"
tutankhm  "Tutankham"
twincobu  "Twin Cobra (US)"
twincobr  "Twin Cobra (World)"
twineagl  "Twin Eagle (Japan)"
twinbee   "TwinBee"
twinspri  "Twinkle Star Sprites"
twocrude  "Two Crude (US)"
twotiger  "Two Tigers"
unsquad   "U.N. Squadron (US)"
usclssic  "U.S. Classic"
cawingj   "U.S. Navy (Japan)"
ufosensi  "Ufo Senshi Yohko Chan"
ssideki4  "Ultimate 11 / Tokuten Ou - Honoo no Libero, The"
umk3r11   "Ultimate Mortal Kombat 3 (rev 1.1)"
umk3      "Ultimate Mortal Kombat 3 (rev 1.2)"
ultraman  "Ultraman (Japan)"
uccopsj   "Undercover Cops (Japan)"
uccops    "Undercover Cops (World)"
uniwars   "UniWar S"
uopoko    "Uo Poko (Japan)"
upndown   "Up'n Down"
usvsthem  "Us vs. Them"
vfive     "V-Five (Japan)"
valtric   "Valtric"
vanvans   "Van Van Car (Sanritsu)"
vanvan    "Van Van Car"
vangrdce  "Vanguard (Centuri)"
vanguard  "Vanguard (SNK)"
vangrd2   "Vanguard II"
vaportru  "Vapor Trail - Hyper Offence Formation (US)"
vaportra  "Vapor Trail - Hyper Offence Formation (World revision 1)"
varthj    "Varth - Operation Thunderstorm (Japan)"
varthu    "Varth - Operation Thunderstorm (US)"
varth     "Varth - Operation Thunderstorm (World)"
vastar    "Vastar (set 1)"
vastar2   "Vastar (set 2)"
vendetta  "Vendetta (Asia set 1)"
vendett2  "Vendetta (Asia set 2)"
venture4  "Venture (version 4)"
venture   "Venture (version 5 set 1)"
venture2  "Venture (version 5 set 2)"
venus     "Venus"
victorba  "Victor Banana"
victroad  "Victory Road"
victory   "Victory"
hustlerb  "Video Hustler (bootleg)"
hustler   "Video Hustler"
viewpoin  "Viewpoint"
vigilntj  "Vigilante (Japan)"
vigilntu  "Vigilante (US)"
vigilant  "Vigilante (World)"
vimanan   "Vimana (Nova Apparate GMBH & Co)"
vimana    "Vimana (set 1)"
vimana2   "Vimana (set 2)"
vindctr2  "Vindicators Part II"
vindictr  "Vindicators"
viofight  "Violence Fight (World)"
viper     "Viper"
gowcaizr  "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
vulcan    "Vulcan Venture"
vulgusj   "Vulgus (Japan?)"
vulgus    "Vulgus (set 1)"
vulgus2   "Vulgus (set 2)"
wecleman  "WEC Le Mans 24"
wwfmania  "WWF: Wrestlemania (rev 1.30)"
wacko     "Wacko"
wakuwak7  "Waku Waku 7"
wanted    "Wanted"
wrofaero  "War of Aero - Project MEIOU"
warofbug  "War of the Bugs"
wotw      "War of the Worlds"
wardnerj  "Wardna no Mori (Japan)"
wardner   "Wardner (World)"
warlord   "Warlords"
warpwarp  "Warp & Warp"
warpwarr  "Warp Warp (Rock-ola set 1)"
warpwar2  "Warp Warp (Rock-ola set 2)"
warrior   "Warrior"
wof       "Warriors of Fate (World)"
waterski  "Water Ski"
weststry  "West Story"
wexpress  "Western Express (World?)"
wexpresb  "Western Express (bootleg)"
